c207,c208,c366,c377,c303,c310,c312,c317,c338,INGTRABW,c333,c330,c335,c375_1,c375_2,c375_3,c375_4,c375_5,c375_6,cluster,perfil
2,24,10,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,78,11,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,21,8,7,1,3,2,3,1,1800,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,22,10,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,43,6,7,1,3,1,2,1,4500,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,21,10,7,1,3,2,1,2,433,2,2,2,2,2,2,2,2,2,0,Jóvenes informales
1,71,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,28,6,6,1,3,2,1,2,1489,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,88,9,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,19,9,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,37,8,7,1,3,2,1,2,1732,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,43,11,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,49,11,7,1,1,1,1, ,15000,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,15,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,65,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,22,10,7,2,4,3,1, , ,2,1, ,2,2,2,2,2,2,1,Adultos vulnerables
1,75,3,1,2, , , , , , , , ,1,1,2,2,2,2,1,Adultos vulnerables
2,25,8,7,1,2,3,1, ,630,2,2,2,2,2,2,2,2,2,0,Jóvenes informales
1,35,6,7,1,3,1,2,2,195,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,27,9,1,1,3,1,4,4,1969,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,85,4,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,64,4,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,42,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,53,6,7,1,3,1,4,4,2159,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,51,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,58,6,7,1,1,3,1, ,4550,1,2,2,2,2,2,2,2,2,0,Jóvenes informales
1,38,6,7,1,3,1,5,4,2718,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,57,3,7,1,2,3,1, ,1665,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,60,1,7,1,2,3,1, ,692,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,85,3,1,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,21,10,7,1,3,3,1,4,850,1,2,2,2,2,2,2,2,2,0,Jóvenes informales
2,18,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,49,4,6,1,6, ,1,2,195,1,2,1,2,2,2,2,2,2,0,Jóvenes informales
2,15,5,6,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,41,6,9,1,2,3,1, ,1232,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,40,10,7,1,3,1,1,4,1000,1,1,1,2,2,2,2,2,2,0,Jóvenes informales
1,42,6,7,1,3,1,5,4,1200,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,25,11,7,1,3,1,5,4,1874,2,2,2,2,2,2,2,2,2,0,Jóvenes informales
1,15,5,5,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,36,5,1,1,3,3,2,2,3897,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,54,8,1,1,3,1,5,4,9265,1,2,2,2,2,2,2,2,2,0,Jóvenes informales
2,21,8,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,18,6,7,1,3,2,1,2,736,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,89,9,7,2, , , , , , , , ,1,2,2,2,2,2,1,Adultos vulnerables
2,51,6,9,1,2,3,1, ,1612,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,56,11,7,1,3,1,4,4,13889,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,28,10,7,1,2,3,1, ,1000,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,52,11,7,1,1,1,2, ,6000,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,20,10,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,48,10,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,81,12,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,15,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,33,11,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,17,6,7,1,3,1,1,4,1490,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,51,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,16,5,7,1,4,3,1, , ,1,2, ,2,2,2,2,2,2,0,Jóvenes informales
1,16,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,36,3,1,1,2,3,1, ,203,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,17,6,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,25,6,7,1,3,3,1,4,1130,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,20,5,7,1,3,3,1,4,1500,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,27,8,7,1,3,3,1,4,2000,1,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,41,9,9,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,16,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,58,12,7,1,3, ,5,4,15050,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,60,8,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,30,6,4,1,3,3,1,2,563,1,1,1,2,2,2,2,2,2,0,Jóvenes informales
2,41,10,6,2,2,2,1, ,2700,2,1,2,2,2,2,2,2,2,1,Adultos vulnerables
2,37,6,7,1,2,2,1, ,1110,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,15,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,17,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,30,6,7,1,3,1,5,4,2050,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,40,6,7,1,2,3,1, ,726,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,28,6,9,1,3,1,1,4,3542,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,68,11,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,57,5,6,2, , , , , , , , ,1,2,2,2,2,2,1,Adultos vulnerables
1,35,9,7,1,3,1,4,4,5625,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,25,8,7,1,3,1,2,4,1300,2,1,1,2,2,2,2,2,2,0,Jóvenes informales
1,48,11,7,1,2,2,1, ,2400,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
1,26,9,7,1,2,2,1, ,4610,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,72,3,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,55,11,7,1,3,1,3,4,2042,1,2,2,2,2,2,2,2,2,0,Jóvenes informales
2,20,10,7,1,3,3,1,3,1625,2,2,2,2,2,2,2,2,2,0,Jóvenes informales
2,82,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,17,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
2,16,5,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,67,5,1,1,3,3,1,1,1350,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,45,6,7,1,2,3,1, ,1054,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,28,9,7,1,3,1,5,4,1280,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
2,23,9,7,2, , , , , , , , ,2,2,2,2,2,2,1,Adultos vulnerables
1,51,10,7,1,2,3,1, ,4130,2,1,2,2,2,2,2,2,2,0,Jóvenes informales
